customer_id,age,annual_income,spending_score,total_purchases,avg_purchase_value,customer_lifetime_value,registration_date,last_purchase_date,customer_type,preferred_categories
43,45,141288,60,5,635.77,3151.51,2024-03-17 00:14:41.330575,2024-07-20 00:14:41.330575,New,"Sports, Electronics, Clothing"
44,77,58765,3,3,581.27,1939.5,2022-08-31 00:14:41.330575,2023-08-08 00:14:41.330575,New,"Clothing, Beauty"
45,33,185888,20,65,700.78,41972.67,2022-01-22 00:14:41.330575,2023-05-13 00:14:41.330575,New,Clothing
46,32,65106,46,4,16.03,59.29,2019-10-20 00:14:41.330575,2021-05-17 00:14:41.330575,New,"Books, Sports"
47,79,73932,15,99,109.93,8720.13,2023-10-26 00:14:41.330575,2024-06-13 00:14:41.330575,Regular,"Clothing, Sports"
48,79,168172,25,96,870.25,72658.0,2021-03-06 00:14:41.330575,2021-12-19 00:14:41.330575,Regular,"Electronics, Home & Garden"
49,64,77091,94,64,684.93,50417.96,2020-06-15 00:14:41.330575,2023-11-03 00:14:41.330575,Regular,"Home & Garden, Beauty"
50,79,41949,78,98,121.8,11658.27,2022-05-31 00:14:41.330575,2023-02-12 00:14:41.330575,New,Beauty
51,68,57744,71,89,843.65,89628.32,2022-07-02 00:14:41.330575,2023-12-13 00:14:41.330575,Regular,Books
52,61,196615,17,10,249.81,2393.89,2021-02-25 00:14:41.330575,2023-01-12 00:14:41.330575,Regular,"Beauty, Sports, Clothing"
53,72,128319,84,21,483.48,11027.0,2021-09-27 00:14:41.330575,2024-04-12 00:14:41.330575,New,"Books, Beauty, Clothing"
54,69,112193,100,46,153.74,6455.13,2020-06-02 00:14:41.330575,2021-01-16 00:14:41.330575,Regular,Sports
55,74,56187,9,91,713.01,61349.28,2022-04-15 00:14:41.330575,2022-11-26 00:14:41.330575,VIP,"Electronics, Sports, Home & Garden"
56,20,158311,38,27,670.19,15856.59,2021-04-24 00:14:41.330575,2022-12-10 00:14:41.330575,Regular,"Books, Beauty"
57,54,144454,48,66,219.0,13569.78,2024-07-17 00:14:41.330575,2024-08-20 00:14:41.330575,Regular,"Electronics, Home & Garden, Beauty"
58,68,34489,60,41,864.77,36125.5,2020-09-17 00:14:41.330575,2021-11-25 00:14:41.330575,Regular,Clothing
59,24,81877,63,13,407.29,6336.3,2023-05-17 00:14:41.330575,2024-05-20 00:14:41.330575,New,"Sports, Home & Garden"
60,38,194197,86,9,299.59,2873.41,2020-12-24 00:14:41.330575,2023-10-10 00:14:41.330575,Regular,"Home & Garden, Clothing"
61,26,69922,2,36,160.81,5092.71,2019-09-17 00:14:41.330575,2024-08-02 00:14:41.330575,New,Beauty
62,56,114074,88,86,273.51,19240.52,2021-01-30 00:14:41.330575,2022-03-07 00:14:41.330575,New,Clothing
63,35,183121,72,90,31.81,2435.02,2020-03-11 00:14:41.330575,2021-11-22 00:14:41.330575,Regular,Electronics
64,21,57131,11,58,587.42,34922.87,2022-12-07 00:14:41.330575,2023-03-04 00:14:41.330575,VIP,"Books, Beauty"
65,42,194016,64,54,843.81,50398.63,2023-11-25 00:14:41.330575,2024-02-04 00:14:41.330575,Regular,"Clothing, Books, Sports"
66,77,135765,77,12,553.49,7811.96,2021-05-15 00:14:41.330575,2022-03-19 00:14:41.330575,Regular,Clothing
67,31,93963,81,81,227.08,14831.2,2022-11-06 00:14:41.330575,2023-10-14 00:14:41.330575,VIP,"Beauty, Home & Garden, Electronics"
68,67,126884,72,78,43.33,3410.51,2020-02-03 00:14:41.330575,2021-04-13 00:14:41.330575,VIP,Sports
69,75,145917,21,14,222.48,3078.42,2023-07-15 00:14:41.330575,2024-01-07 00:14:41.330575,Regular,"Clothing, Beauty, Electronics"
70,26,44285,18,34,421.96,15242.19,2023-01-17 00:14:41.330575,2023-06-04 00:14:41.330575,New,"Sports, Beauty, Clothing"
71,43,57626,94,53,762.02,41349.55,2020-05-31 00:14:41.330575,2020-12-10 00:14:41.330575,VIP,Sports
72,70,193880,64,20,195.96,4212.42,2020-01-23 00:14:41.330575,2023-05-16 00:14:41.330575,New,"Electronics, Beauty, Clothing"
73,19,39198,82,75,722.59,57621.12,2024-02-23 00:14:41.330575,2024-08-04 00:14:41.330575,Regular,Sports
74,37,170830,95,16,868.26,11763.95,2022-08-30 00:14:41.330575,2023-02-06 00:14:41.330575,New,"Beauty, Clothing"
75,45,35254,38,95,459.41,48876.3,2020-05-06 00:14:41.330575,2022-12-04 00:14:41.330575,Regular,"Beauty, Home & Garden"
76,64,64238,32,70,823.22,48940.85,2023-03-10 00:14:41.330575,2024-08-15 00:14:41.330575,New,Beauty
77,77,21252,11,56,559.11,33796.57,2021-10-29 00:14:41.330575,2024-04-30 00:14:41.330575,Regular,Books
78,24,59764,45,83,640.72,51396.01,2019-11-20 00:14:41.330575,2020-06-16 00:14:41.330575,Regular,"Beauty, Home & Garden, Sports"
79,61,97709,89,58,531.02,30969.8,2024-04-10 00:14:41.330575,2024-07-12 00:14:41.330575,New,Clothing
80,78,188513,33,4,468.54,2176.5,2021-05-17 00:14:41.330575,2023-12-26 00:14:41.330575,Regular,"Home & Garden, Sports, Beauty"
81,25,73682,41,4,242.31,1120.4,2024-07-31 00:14:41.330575,2024-08-22 00:14:41.330575,VIP,"Home & Garden, Sports"
82,64,79494,8,20,310.16,6991.89,2024-02-17 00:14:41.330575,2024-04-10 00:14:41.330575,VIP,"Home & Garden, Electronics, Beauty"
83,52,101317,11,10,297.07,2982.76,2021-02-08 00:14:41.330575,2023-05-21 00:14:41.330575,New,"Electronics, Books, Beauty"
84,31,85215,86,24,567.66,14911.24,2021-10-13 00:14:41.330575,2022-03-01 00:14:41.330575,Regular,"Sports, Beauty, Clothing"
85,34,98587,51,99,128.75,12812.01,2022-03-28 00:14:41.330575,2024-05-27 00:14:41.330575,Regular,Books
86,53,26949,88,26,917.62,27385.36,2024-03-04 00:14:41.330575,2024-04-06 00:14:41.330575,Regular,Sports
87,67,75393,41,37,723.45,25726.67,2023-05-18 00:14:41.330575,2024-03-21 00:14:41.330575,New,"Electronics, Beauty, Home & Garden"
88,57,158013,17,85,407.43,41145.54,2022-12-28 00:14:41.330575,2024-06-09 00:14:41.330575,Regular,Electronics
89,21,45934,76,54,167.04,10580.01,2022-09-25 00:14:41.330575,2022-11-20 00:14:41.330575,VIP,Clothing
90,19,174458,46,21,883.17,20338.93,2021-05-11 00:14:41.330575,2021-08-30 00:14:41.330575,Regular,"Beauty, Sports, Electronics"
91,79,95745,32,74,825.54,55699.77,2022-06-30 00:14:41.330575,2022-07-04 00:14:41.330575,Regular,Home & Garden
92,23,114456,79,38,724.5,23474.62,2019-11-08 00:14:41.330575,2023-10-11 00:14:41.330575,Regular,"Beauty, Electronics, Sports"
93,71,73413,80,46,278.83,14645.98,2023-10-31 00:14:41.330575,2024-04-29 00:14:41.330575,New,"Books, Home & Garden"
94,59,117239,54,4,408.42,1414.96,2020-03-11 00:14:41.330575,2023-01-11 00:14:41.330575,Regular,"Books, Electronics"
95,21,62318,86,60,111.72,7653.07,2023-06-23 00:14:41.330575,2024-05-26 00:14:41.330575,Regular,Clothing
96,71,90390,92,57,197.15,11196.04,2021-10-09 00:14:41.330575,2022-01-06 00:14:41.330575,New,"Beauty, Electronics, Home & Garden"
97,46,63088,20,45,785.19,34012.88,2021-02-04 00:14:41.330575,2022-10-12 00:14:41.330575,VIP,Electronics
98,80,123196,33,20,717.89,16673.37,2022-05-19 00:14:41.330575,2024-04-15 00:14:41.330575,New,"Home & Garden, Sports"
99,35,190883,74,17,597.55,10580.33,2022-10-17 00:14:41.330575,2023-06-23 00:14:41.330575,VIP,Books
100,43,75479,40,71,896.77,65621.9,2020-05-26 00:14:41.330575,2023-11-25 00:14:41.330575,Regular,"Sports, Books"
101,61,39963,32,4,587.43,2404.95,2024-02-23 00:14:41.330575,2024-05-08 00:14:41.330575,New,Books
102,51,75123,97,93,472.3,41660.41,2020-12-30 00:14:41.330575,2023-06-15 00:14:41.330575,Regular,Beauty
103,27,145911,2,14,346.97,5412.59,2023-11-13 00:14:41.330575,2024-02-28 00:14:41.330575,Regular,"Home & Garden, Clothing, Books"
104,79,122468,97,3,941.04,2543.97,2023-04-16 00:14:41.330575,2023-09-18 00:14:41.330575,New,"Sports, Clothing, Beauty"
105,53,93477,33,88,91.89,9505.94,2022-12-03 00:14:41.330575,2024-07-18 00:14:41.330575,Regular,"Books, Electronics"
106,31,34388,77,80,931.58,86271.32,2020-09-12 00:14:41.330575,2022-04-23 00:14:41.330575,Regular,"Beauty, Home & Garden"
107,48,25569,30,58,828.45,44926.47,2021-06-16 00:14:41.330575,2022-10-13 00:14:41.330575,Regular,"Beauty, Sports"
108,65,89836,33,55,138.63,8324.48,2023-03-17 00:14:41.330575,2023-11-29 00:14:41.330575,New,Electronics
109,32,124573,77,4,569.33,2344.02,2021-03-04 00:14:41.330575,2022-12-02 00:14:41.330575,Regular,"Sports, Home & Garden"
110,25,187658,26,24,867.88,19476.47,2022-09-04 00:14:41.330575,2023-06-12 00:14:41.330575,New,"Clothing, Beauty, Electronics"
111,31,163087,22,34,576.09,23414.54,2023-11-12 00:14:41.330575,2024-02-07 00:14:41.330575,Regular,"Books, Beauty"
112,40,65002,66,30,908.13,22070.15,2019-11-14 00:14:41.330575,2023-03-25 00:14:41.330575,New,"Sports, Home & Garden"
113,77,157326,38,82,943.55,69715.88,2020-07-06 00:14:41.330575,2020-07-21 00:14:41.330575,VIP,Beauty
114,74,168216,90,19,428.16,8200.36,2020-03-19 00:14:41.330575,2023-06-06 00:14:41.330575,Regular,"Sports, Beauty, Books"
115,79,175286,46,31,383.54,11994.15,2022-10-30 00:14:41.330575,2023-07-10 00:14:41.330575,Regular,"Books, Beauty"
116,57,157162,15,60,936.96,58217.44,2024-07-19 00:14:41.330575,2024-07-27 00:14:41.330575,Regular,"Clothing, Beauty"
117,38,162709,98,60,678.39,44801.03,2021-03-27 00:14:41.330575,2022-09-21 00:14:41.330575,New,"Clothing, Beauty, Home & Garden"
118,33,173487,44,19,124.86,2489.51,2021-11-01 00:14:41.330575,2023-12-23 00:14:41.330575,New,"Electronics, Beauty"
119,62,44071,49,49,51.87,2643.58,2024-02-27 00:14:41.330575,2024-07-16 00:14:41.330575,VIP,"Books, Beauty, Home & Garden"
120,35,78243,75,63,568.98,29443.9,2023-10-22 00:14:41.330575,2023-10-26 00:14:41.330575,VIP,Electronics
121,64,145827,61,83,930.87,73446.39,2022-11-20 00:14:41.330575,2024-02-21 00:14:41.330575,New,"Beauty, Home & Garden"
122,70,128215,67,22,845.81,16613.48,2024-04-21 00:14:41.330575,2024-07-03 00:14:41.330575,Regular,Clothing
123,41,192312,6,24,679.09,14768.55,2023-01-14 00:14:41.330575,2023-07-01 00:14:41.330575,Regular,Clothing
124,43,121570,9,76,147.72,11470.73,2020-02-28 00:14:41.330575,2021-02-27 00:14:41.330575,Regular,"Beauty, Clothing"
125,42,184506,6,30,261.69,6907.06,2020-03-17 00:14:41.330575,2023-07-01 00:14:41.330575,New,"Beauty, Home & Garden"
126,77,89724,73,58,876.76,46660.83,2021-09-06 00:14:41.330575,2023-06-22 00:14:41.330575,New,Sports
127,77,135359,95,31,190.98,5297.76,2019-11-30 00:14:41.330575,2023-09-15 00:14:41.330575,New,"Sports, Beauty, Home & Garden"
128,77,95697,32,100,285.66,33690.77,2021-11-09 00:14:41.330575,2023-12-08 00:14:41.330575,VIP,Books
129,62,48732,41,64,138.3,10425.53,2023-08-30 00:14:41.330575,2024-01-03 00:14:41.330575,Regular,"Sports, Electronics"
130,58,141465,76,19,679.35,13475.28,2021-10-29 00:14:41.330575,2024-05-09 00:14:41.330575,Regular,"Clothing, Electronics"
131,46,162386,8,48,944.54,53036.71,2021-09-19 00:14:41.330575,2022-11-08 00:14:41.330575,VIP,"Clothing, Home & Garden"
132,32,175026,72,45,276.28,13853.96,2022-12-22 00:14:41.330575,2023-12-11 00:14:41.330575,Regular,"Electronics, Books, Sports"
133,62,77108,50,100,480.65,49794.34,2020-03-29 00:14:41.330575,2020-12-08 00:14:41.330575,VIP,Sports
134,18,131195,92,94,638.0,48131.97,2021-01-07 00:14:41.330575,2024-03-18 00:14:41.330575,Regular,Sports
135,42,123081,62,55,999.47,60963.03,2022-10-30 00:14:41.330575,2024-05-28 00:14:41.330575,New,"Electronics, Clothing"
136,24,56668,84,55,113.76,6763.57,2021-06-28 00:14:41.330575,2023-12-14 00:14:41.330575,VIP,"Electronics, Home & Garden"
137,26,43061,62,97,503.59,51100.2,2022-07-05 00:14:41.330575,2022-07-15 00:14:41.330575,Regular,"Home & Garden, Books, Electronics"
138,41,99252,7,18,391.27,7776.51,2024-03-17 00:14:41.330575,2024-07-02 00:14:41.330575,New,Clothing
139,18,59749,75,63,867.16,54913.46,2022-01-20 00:14:41.330575,2022-02-14 00:14:41.330575,Regular,Books
140,61,150560,84,92,481.21,47885.33,2021-09-03 00:14:41.330575,2024-04-16 00:14:41.330575,New,Books
141,25,124680,80,47,119.87,6614.57,2022-10-06 00:14:41.330575,2023-11-30 00:14:41.330575,Regular,Home & Garden
142,41,167979,4,75,638.08,45478.61,2023-07-02 00:14:41.330575,2023-11-29 00:14:41.330575,VIP,Sports
143,80,169849,6,57,773.07,47733.34,2024-01-25 00:14:41.330575,2024-04-18 00:14:41.330575,VIP,"Clothing, Beauty, Sports"
144,28,71745,58,45,12.85,572.63,2024-05-29 00:14:41.330575,2024-08-27 00:14:41.330575,VIP,"Home & Garden, Beauty"
145,68,128464,22,33,860.37,30372.85,2021-07-31 00:14:41.330575,2022-11-03 00:14:41.330575,New,"Home & Garden, Clothing"
146,34,111865,26,17,194.16,3647.81,2022-09-29 00:14:41.330575,2024-07-22 00:14:41.330575,Regular,"Books, Sports"
147,25,132428,3,70,556.55,31875.1,2021-04-18 00:14:41.330575,2023-01-12 00:14:41.330575,New,Home & Garden
148,52,43624,41,4,421.64,1785.46,2024-01-30 00:14:41.330575,2024-06-21 00:14:41.330575,VIP,Beauty
149,52,43321,60,20,722.46,12869.85,2022-02-04 00:14:41.330575,2022-08-11 00:14:41.330575,Regular,"Home & Garden, Sports"
150,50,161560,14,47,377.45,18946.71,2022-01-01 00:14:41.330575,2022-09-12 00:14:41.330575,Regular,Clothing
151,76,42574,75,91,871.07,78263.22,2022-12-31 00:14:41.330575,2023-03-08 00:14:41.330575,Regular,"Sports, Electronics"
152,22,156312,82,15,733.19,12201.25,2020-07-23 00:14:41.330575,2022-03-30 00:14:41.330575,Regular,"Electronics, Sports"
153,59,194293,12,70,651.24,38719.62,2022-05-08 00:14:41.330575,2023-04-08 00:14:41.330575,Regular,Clothing
154,56,161550,87,47,798.28,39414.96,2024-06-17 00:14:41.330575,2024-07-17 00:14:41.330575,VIP,"Electronics, Beauty"
155,75,170334,12,78,756.48,53776.87,2022-04-15 00:14:41.330575,2024-07-13 00:14:41.330575,VIP,"Sports, Clothing, Beauty"
156,58,138831,13,75,45.58,3901.17,2023-10-02 00:14:41.330575,2024-07-27 00:14:41.330575,New,"Books, Clothing"
157,45,155504,25,9,400.79,4225.2,2022-02-12 00:14:41.330575,2024-08-07 00:14:41.330575,Regular,"Clothing, Beauty, Books"
158,24,115257,45,90,931.5,100481.22,2023-06-24 00:14:41.330575,2023-09-21 00:14:41.330575,VIP,Books
159,26,84291,19,16,134.47,2406.27,2023-05-06 00:14:41.330575,2024-04-26 00:14:41.330575,New,Beauty
160,25,147600,55,69,739.73,56221.74,2020-01-24 00:14:41.330575,2020-10-05 00:14:41.330575,Regular,"Books, Sports"
161,29,70428,100,61,974.85,52698.65,2020-09-20 00:14:41.330575,2023-06-24 00:14:41.330575,New,"Home & Garden, Books, Beauty"
162,51,151374,45,10,61.68,576.34,2020-04-05 00:14:41.330575,2021-03-23 00:14:41.330575,Regular,Books
163,50,151127,8,50,685.37,33798.1,2023-06-18 00:14:41.330575,2024-01-23 00:14:41.330575,New,"Electronics, Sports, Home & Garden"
164,65,131317,93,3,473.47,1575.74,2020-07-22 00:14:41.330575,2021-12-27 00:14:41.330575,Regular,"Books, Clothing"
165,72,159789,53,77,583.38,52376.41,2022-07-07 00:14:41.330575,2024-07-31 00:14:41.330575,New,"Clothing, Sports, Home & Garden"
166,40,147449,55,94,94.49,7777.63,2020-04-06 00:14:41.330575,2021-01-14 00:14:41.330575,Regular,Electronics
167,79,48699,32,70,52.58,4302.43,2023-10-27 00:14:41.330575,2024-02-02 00:14:41.330575,VIP,Books
168,41,93686,51,81,670.2,58534.09,2022-04-10 00:14:41.330575,2022-10-23 00:14:41.330575,VIP,Books
169,54,87661,44,51,825.08,43943.53,2023-12-21 00:14:41.330575,2024-08-02 00:14:41.330575,VIP,"Beauty, Clothing, Home & Garden"
170,52,64247,82,19,784.2,13110.88,2020-03-03 00:14:41.330575,2022-07-28 00:14:41.330575,Regular,"Sports, Beauty, Books"
171,61,167820,70,42,548.37,18936.76,2020-05-29 00:14:41.330575,2023-10-30 00:14:41.330575,New,Books
172,57,125113,18,35,108.87,3914.8,2022-04-04 00:14:41.330575,2024-07-26 00:14:41.330575,New,"Electronics, Clothing, Books"
173,39,24621,83,46,691.16,33720.24,2023-10-02 00:14:41.330575,2024-01-12 00:14:41.330575,VIP,"Books, Beauty, Home & Garden"
174,44,166106,22,26,249.47,5735.85,2022-01-19 00:14:41.330575,2023-09-28 00:14:41.330575,Regular,"Clothing, Home & Garden, Beauty"
175,52,156198,37,69,911.96,64346.25,2024-02-24 00:14:41.330575,2024-06-11 00:14:41.330575,New,Sports
176,18,156194,96,93,839.88,89246.95,2023-11-23 00:14:41.330575,2024-01-19 00:14:41.330575,Regular,Sports
177,52,38030,56,64,712.29,51696.36,2023-12-16 00:14:41.330575,2024-03-02 00:14:41.330575,New,"Clothing, Electronics"
178,54,102838,59,37,949.36,41130.89,2020-12-12 00:14:41.330575,2023-12-15 00:14:41.330575,New,"Sports, Beauty, Clothing"
179,64,104717,3,84,41.11,3267.99,2020-07-03 00:14:41.330575,2023-06-03 00:14:41.330575,VIP,"Books, Beauty"
180,31,58638,28,49,738.84,33568.29,2022-11-13 00:14:41.330575,2024-01-08 00:14:41.330575,VIP,"Clothing, Sports, Beauty"
181,20,87067,74,21,336.94,7781.69,2019-12-22 00:14:41.330575,2022-04-05 00:14:41.330575,Regular,Beauty
182,18,138033,35,74,907.01,65269.28,2022-06-12 00:14:41.330575,2022-12-09 00:14:41.330575,VIP,Home & Garden
183,22,125977,61,64,274.01,14643.44,2020-04-21 00:14:41.330575,2021-10-17 00:14:41.330575,Regular,"Books, Sports"
184,43,108869,93,5,727.61,3321.98,2024-05-13 00:14:41.330575,2024-07-22 00:14:41.330575,Regular,Clothing
185,72,125186,54,100,878.87,85024.78,2024-01-27 00:14:41.330575,2024-03-22 00:14:41.330575,New,"Home & Garden, Books, Beauty"
186,80,54674,63,70,51.24,3289.12,2024-06-13 00:14:41.330575,2024-08-23 00:14:41.330575,New,"Clothing, Books"
187,31,186926,79,90,403.67,33891.89,2024-06-23 00:14:41.330575,2024-08-12 00:14:41.330575,Regular,"Home & Garden, Sports, Clothing"
188,56,66271,97,4,764.69,2806.44,2024-02-04 00:14:41.330575,2024-04-17 00:14:41.330575,VIP,"Books, Clothing"
189,44,93688,7,39,460.37,14661.58,2023-11-04 00:14:41.330575,2024-04-22 00:14:41.330575,Regular,Clothing
190,26,189590,76,35,274.58,10137.31,2021-04-19 00:14:41.330575,2022-04-30 00:14:41.330575,New,"Home & Garden, Clothing"
191,32,131076,49,1,227.61,236.47,2023-12-28 00:14:41.330575,2024-05-18 00:14:41.330575,New,"Books, Home & Garden, Clothing"
192,32,161339,94,24,140.2,3571.24,2023-03-22 00:14:41.330575,2024-04-23 00:14:41.330575,VIP,"Beauty, Clothing"
193,43,21062,85,57,858.56,42914.83,2024-05-25 00:14:41.330575,2024-05-29 00:14:41.330575,New,"Clothing, Beauty"
194,59,70448,31,100,579.6,53222.45,2020-02-22 00:14:41.330575,2020-09-29 00:14:41.330575,Regular,Home & Garden
195,77,115462,58,70,85.62,6280.16,2022-05-02 00:14:41.330575,2023-12-17 00:14:41.330575,New,"Electronics, Clothing, Beauty"
196,30,157301,61,41,388.75,16573.93,2022-06-29 00:14:41.330575,2022-12-27 00:14:41.330575,New,Beauty
197,68,67915,24,54,374.06,20250.39,2022-11-24 00:14:41.330575,2023-09-26 00:14:41.330575,Regular,Home & Garden
198,80,24632,20,46,189.92,8213.58,2023-11-26 00:14:41.330575,2023-12-05 00:14:41.330575,Regular,"Sports, Home & Garden, Electronics"
199,49,124592,37,60,441.15,30840.95,2021-03-01 00:14:41.330575,2023-12-09 00:14:41.330575,Regular,Home & Garden
200,56,154668,4,60,338.78,19024.02,2021-03-03 00:14:41.330575,2021-03-06 00:14:41.330575,New,"Home & Garden, Sports, Books"
201,66,129779,92,57,348.39,19505.7,2021-02-01 00:14:41.330575,2023-06-13 00:14:41.330575,VIP,Electronics
202,69,157240,20,31,741.64,24628.83,2022-03-04 00:14:41.330575,2024-06-28 00:14:41.330575,New,"Home & Garden, Sports, Electronics"
203,78,128099,60,84,231.03,19740.48,2020-04-04 00:14:41.330575,2022-06-16 00:14:41.330575,Regular,Sports
204,49,27561,24,24,645.44,14541.83,2020-01-14 00:14:41.330575,2023-08-10 00:14:41.330575,VIP,"Books, Beauty"
205,21,102152,50,89,574.94,49852.45,2020-06-13 00:14:41.330575,2021-01-13 00:14:41.330575,New,"Sports, Home & Garden"
206,47,145036,49,36,572.41,23034.08,2022-10-26 00:14:41.330575,2024-06-26 00:14:41.330575,VIP,"Books, Clothing"
207,54,144049,51,85,666.38,51615.39,2023-09-04 00:14:41.330575,2023-12-13 00:14:41.330575,New,"Books, Beauty, Clothing"
208,40,46734,96,30,552.9,14213.44,2021-07-19 00:14:41.330575,2024-03-07 00:14:41.330575,Regular,Home & Garden
209,56,157443,36,24,880.46,19551.82,2022-11-21 00:14:41.330575,2024-04-24 00:14:41.330575,Regular,"Home & Garden, Beauty"
210,62,46069,98,30,678.82,23211.85,2020-07-29 00:14:41.330575,2022-02-21 00:14:41.330575,VIP,"Sports, Home & Garden"
